"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Lead Management API","0","Create Lead","3","0","Create with Required Fields","0"
"0","Lead Management UI","0","Leads Listing","5","0","Sorting","0"
"0","Lead Management API","0","Create Lead","7","0","Industry Variations","0"
"0","Lead Management API","0","Leads Listing","4","0","Pagination","0"
"0","Lead Management API","0","Create Lead","4","0","Boolean Combinations","0"
"0","Lead Management API","0","Create Lead","6","0","Source Variations","0"
"0","Lead Management API","0","Leads Listing","5","0","Status Filter","0"
"0","Lead Management API","0","Login","9","0","Security","0"
"0","Lead Management UI","0","Leads Listing","5","0","Status Filter","0"
"0","Lead Management API","0","Create Lead","4","0","Role-Based Access","0"
"0","Lead Management API","0","Leads Listing","2","0","Get Single Lead","0"
"0","Lead Management API","0","Leads Listing","3","0","Role-Based Access","0"
"0","Lead Management UI","0","Login - Multi-Role","4","0","Invalid Login","0"
"0","Lead Management UI","0","Login - Detailed Steps","1","0","Admin Login - Detailed Workflow","0"
"0","Lead Management API","0","Leads Listing","3","0","Security","0"
"0","Lead Management API","0","Login","8","0","Invalid Login","0"
"0","Lead Management API","0","Leads Listing","8","0","Sorting","0"
"0","Lead Management UI","0","Leads Listing","1","0","Delete Lead","0"
"0","Lead Management UI","0","Leads Listing","4","0","Search","0"
"0","Lead Management API","0","Login","7","0","Valid Login","0"
"0","Lead Management API","0","Create Lead","8","0","Validation Errors","0"
"0","Lead Management UI","0","Create Lead - Detailed Steps","1","0","Create Lead - Empty Required Fields","0"
"0","Lead Management API","0","Leads Listing","6","0","Update Lead","0"
"0","Lead Management API","0","Create Lead","6","0","Security","0"
"0","Lead Management API","0","Create Lead","11","0","Boundary Tests","0"
"0","Lead Management UI","0","Login","3","0","Valid Login","0"
"0","Lead Management API","0","Create Lead","4","0","Priority Variations","0"
"0","Lead Management API","0","Leads Listing","2","0","Create and Retrieve","0"
"0","Lead Management UI","0","Login","1","0","Logout","0"
"0","Lead Management UI","0","Create Lead","2","0","Validation Errors","0"
"0","Lead Management API","0","Create Lead","2","0","Special Characters","0"
"0","Lead Management UI","0","Leads Listing","4","0","Pagination","0"
"0","Lead Management UI","0","Create Lead - Detailed Steps","1","0","Create Lead Dialog","0"
"0","Lead Management UI","0","Create Lead","1","0","Dialog Behavior","0"
"0","Lead Management API","0","Create Lead","1","0","Create Lead - Detailed Field Validation","0"
"0","Lead Management UI","0","End-to-End Flow","1","0","Complete Lead Creation Flow","0"
"0","Lead Management UI","0","Leads Listing","2","0","Edit Lead","0"
"0","Lead Management API","0","Leads Listing","4","0","Delete Lead","0"
"0","Lead Management UI","0","Create Lead","4","0","Status Variations","0"
"0","Lead Management UI","0","Create Lead - Detailed Steps","1","0","Create Lead - Complete Detailed Workflow","0"
"0","Lead Management API","0","Leads Listing","8","0","Get All Leads","0"
"0","Lead Management UI","0","Create Lead","4","0","Priority Variations","0"
"0","Lead Management API","0","Login","1","0","Invalid Login - Detailed Validation","0"
"0","Lead Management UI","0","Create Lead","1","0","Create with All Fields","0"
"0","Lead Management UI","0","Login","3","0","Invalid Login","0"
"0","Lead Management API","0","Leads Listing","4","0","Search","0"
"0","Lead Management UI","0","Login - Multi-Role","3","0","Valid Login - All Roles","0"
"0","Lead Management UI","0","End-to-End Flow","1","0","Leads Table Populated","0"
"0","Lead Management UI","0","Login - Multi-Role","1","0","Valid Login - Admin","0"
"0","Lead Management UI","0","Login - Invalid Credentials Detailed","1","0","Invalid Login - Detailed Workflow","0"
"0","Lead Management API","0","Create Lead","4","0","Status Variations","0"
"0","Lead Management API","0","Login","1","0","Valid Login - Detailed Validation","0"
"0","Lead Management UI","0","End-to-End Flow","1","0","Search Leads by Name","0"
"0","Lead Management API","0","Create Lead","2","0","Authorization","0"
"0","Lead Management API","0","Create Lead","1","0","Create with All Fields","0"
"0","Lead Management UI","0","Login - Multi-Role","1","0","Valid Login - Manager","0"
"0","Lead Management UI","0","Login","1","0","Session","0"
"0","Lead Management UI","0","Leads Listing","2","0","View Lead","0"
"0","Lead Management UI","0","Logout - Detailed Steps","1","0","Logout - Detailed Workflow","0"
"0","Lead Management UI","0","Login - Multi-Role","1","0","Valid Login - Viewer","0"
"0","Lead Management UI","0","Create Lead","1","0","Create with Required Fields","0"
